delta,lam,ell,a,m_det,class,margin
11,36|1|1|1|1|1|1|1|1,9,0,-1,a0,
11,35|2|1|1|1|1|1|1|1,9,0,-1,a0,
11,34|3|1|1|1|1|1|1|1,9,0,-1,a0,
11,34|2|2|1|1|1|1|1|1,9,0,-1,a0,
11,33|4|1|1|1|1|1|1|1,9,0,-1,a0,
11,33|3|2|1|1|1|1|1|1,9,0,-1,a0,
11,33|2|2|2|1|1|1|1|1,9,0,-1,a0,
11,32|5|1|1|1|1|1|1|1,9,0,-1,a0,
11,32|4|2|1|1|1|1|1|1,9,0,-1,a0,
11,32|3|3|1|1|1|1|1|1,9,0,-1,a0,
11,32|3|2|2|1|1|1|1|1,9,0,-1,a0,
11,32|2|2|2|2|1|1|1|1,9,0,-1,a0,
11,31|6|1|1|1|1|1|1|1,9,0,-1,a0,
11,31|5|2|1|1|1|1|1|1,9,0,-1,a0,
11,31|4|3|1|1|1|1|1|1,9,0,-1,a0,
11,31|4|2|2|1|1|1|1|1,9,0,-1,a0,
11,31|3|3|2|1|1|1|1|1,9,0,-1,a0,
11,31|3|2|2|2|1|1|1|1,9,0,-1,a0,
11,31|2|2|2|2|2|1|1|1,9,0,-1,a0,
11,30|7|1|1|1|1|1|1|1,9,0,-1,a0,
11,30|6|2|1|1|1|1|1|1,9,0,-1,a0,
11,30|5|3|1|1|1|1|1|1,9,0,-1,a0,
11,30|5|2|2|1|1|1|1|1,9,0,-1,a0,
11,30|4|4|1|1|1|1|1|1,9,0,-1,a0,
11,30|4|3|2|1|1|1|1|1,9,0,-1,a0,
11,30|4|2|2|2|1|1|1|1,9,0,-1,a0,
11,30|3|3|3|1|1|1|1|1,9,0,-1,a0,
11,30|3|3|2|2|1|1|1|1,9,0,-1,a0,
11,30|3|2|2|2|2|1|1|1,9,0,-1,a0,
11,30|2|2|2|2|2|2|1|1,9,0,-1,a0,
11,29|8|1|1|1|1|1|1|1,9,0,-1,a0,
11,29|7|2|1|1|1|1|1|1,9,0,-1,a0,
11,29|6|3|1|1|1|1|1|1,9,0,-1,a0,
11,29|6|2|2|1|1|1|1|1,9,0,-1,a0,
11,29|5|4|1|1|1|1|1|1,9,0,-1,a0,
11,29|5|3|2|1|1|1|1|1,9,0,-1,a0,
11,29|5|2|2|2|1|1|1|1,9,0,-1,a0,
11,29|4|4|2|1|1|1|1|1,9,0,-1,a0,
11,29|4|3|3|1|1|1|1|1,9,0,-1,a0,
11,29|4|3|2|2|1|1|1|1,9,0,-1,a0,
11,29|4|2|2|2|2|1|1|1,9,0,-1,a0,
11,29|3|3|3|2|1|1|1|1,9,0,-1,a0,
11,29|3|3|2|2|2|1|1|1,9,0,-1,a0,
11,29|3|2|2|2|2|2|1|1,9,0,-1,a0,
11,29|2|2|2|2|2|2|2|1,9,0,-1,a0,
11,28|9|1|1|1|1|1|1|1,9,0,-1,a0,
11,28|8|2|1|1|1|1|1|1,9,0,-1,a0,
11,28|7|3|1|1|1|1|1|1,9,0,-1,a0,
11,28|7|2|2|1|1|1|1|1,9,0,-1,a0,
11,28|6|4|1|1|1|1|1|1,9,0,-1,a0,
11,28|6|3|2|1|1|1|1|1,9,0,-1,a0,
11,28|6|2|2|2|1|1|1|1,9,0,-1,a0,
11,28|5|5|1|1|1|1|1|1,9,0,-1,a0,
11,28|5|4|2|1|1|1|1|1,9,0,-1,a0,
11,28|5|3|3|1|1|1|1|1,9,0,-1,a0,
11,28|5|3|2|2|1|1|1|1,9,0,-1,a0,
11,28|5|2|2|2|2|1|1|1,9,0,-1,a0,
11,28|4|4|3|1|1|1|1|1,9,0,-1,a0,
11,28|4|4|2|2|1|1|1|1,9,0,-1,a0,
11,28|4|3|3|2|1|1|1|1,9,0,-1,a0,
11,28|4|3|2|2|2|1|1|1,9,0,-1,a0,
11,28|4|2|2|2|2|2|1|1,9,0,-1,a0,
11,28|3|3|3|3|1|1|1|1,9,0,-1,a0,
11,28|3|3|3|2|2|1|1|1,9,0,-1,a0,
11,28|3|3|2|2|2|2|1|1,9,0,-1,a0,
11,28|3|2|2|2|2|2|2|1,9,0,-1,a0,
11,28|2|2|2|2|2|2|2|2,9,1,21,silent,20
11,27|10|1|1|1|1|1|1|1,9,0,-1,a0,
11,27|9|2|1|1|1|1|1|1,9,0,-1,a0,
11,27|8|3|1|1|1|1|1|1,9,0,-1,a0,
11,27|8|2|2|1|1|1|1|1,9,0,-1,a0,
11,27|7|4|1|1|1|1|1|1,9,0,-1,a0,
11,27|7|3|2|1|1|1|1|1,9,0,-1,a0,
11,27|7|2|2|2|1|1|1|1,9,0,-1,a0,
11,27|6|5|1|1|1|1|1|1,9,0,-1,a0,
11,27|6|4|2|1|1|1|1|1,9,0,-1,a0,
11,27|6|3|3|1|1|1|1|1,9,0,-1,a0,
11,27|6|3|2|2|1|1|1|1,9,0,-1,a0,
11,27|6|2|2|2|2|1|1|1,9,0,-1,a0,
11,27|5|5|2|1|1|1|1|1,9,0,-1,a0,
11,27|5|4|3|1|1|1|1|1,9,0,-1,a0,
11,27|5|4|2|2|1|1|1|1,9,0,-1,a0,
11,27|5|3|3|2|1|1|1|1,9,0,-1,a0,
11,27|5|3|2|2|2|1|1|1,9,0,-1,a0,
11,27|5|2|2|2|2|2|1|1,9,0,-1,a0,
11,27|4|4|4|1|1|1|1|1,9,0,-1,a0,
11,27|4|4|3|2|1|1|1|1,9,0,-1,a0,
11,27|4|4|2|2|2|1|1|1,9,0,-1,a0,
11,27|4|3|3|3|1|1|1|1,9,0,-1,a0,
11,27|4|3|3|2|2|1|1|1,9,0,-1,a0,
11,27|4|3|2|2|2|2|1|1,9,0,-1,a0,
11,27|4|2|2|2|2|2|2|1,9,1,352,silent,351
11,27|3|3|3|3|2|1|1|1,9,0,-1,a0,
11,27|3|3|3|2|2|2|1|1,9,0,-1,a0,
11,27|3|3|2|2|2|2|2|1,9,0,-1,a0,
11,27|3|2|2|2|2|2|2|2,9,1,66,silent,65
11,26|11|1|1|1|1|1|1|1,9,0,-1,a0,
