delta,lam,ell,a,m_det,class,margin
12,41|1|1|1|1|1|1|1,8,0,-1,a0,
12,40|2|1|1|1|1|1|1,8,0,-1,a0,
12,39|3|1|1|1|1|1|1,8,0,-1,a0,
12,39|2|2|1|1|1|1|1,8,0,-1,a0,
12,38|4|1|1|1|1|1|1,8,0,-1,a0,
12,38|3|2|1|1|1|1|1,8,0,-1,a0,
12,38|2|2|2|1|1|1|1,8,0,-1,a0,
12,37|5|1|1|1|1|1|1,8,0,-1,a0,
12,37|4|2|1|1|1|1|1,8,0,-1,a0,
12,37|3|3|1|1|1|1|1,8,0,-1,a0,
12,37|3|2|2|1|1|1|1,8,0,-1,a0,
12,37|2|2|2|2|1|1|1,8,0,-1,a0,
12,36|6|1|1|1|1|1|1,8,0,-1,a0,
12,36|5|2|1|1|1|1|1,8,0,-1,a0,
12,36|4|3|1|1|1|1|1,8,0,-1,a0,
12,36|4|2|2|1|1|1|1,8,0,-1,a0,
12,36|3|3|2|1|1|1|1,8,0,-1,a0,
12,36|3|2|2|2|1|1|1,8,0,-1,a0,
12,36|2|2|2|2|2|1|1,8,0,-1,a0,
12,35|7|1|1|1|1|1|1,8,0,-1,a0,
12,35|6|2|1|1|1|1|1,8,0,-1,a0,
12,35|5|3|1|1|1|1|1,8,0,-1,a0,
12,35|5|2|2|1|1|1|1,8,0,-1,a0,
12,35|4|4|1|1|1|1|1,8,0,-1,a0,
12,35|4|3|2|1|1|1|1,8,0,-1,a0,
12,35|4|2|2|2|1|1|1,8,0,-1,a0,
12,35|3|3|3|1|1|1|1,8,0,-1,a0,
12,35|3|3|2|2|1|1|1,8,0,-1,a0,
12,35|3|2|2|2|2|1|1,8,0,-1,a0,
12,35|2|2|2|2|2|2|1,8,0,-1,a0,
12,34|8|1|1|1|1|1|1,8,0,-1,a0,
12,34|7|2|1|1|1|1|1,8,0,-1,a0,
12,34|6|3|1|1|1|1|1,8,0,-1,a0,
12,34|6|2|2|1|1|1|1,8,0,-1,a0,
12,34|5|4|1|1|1|1|1,8,0,-1,a0,
12,34|5|3|2|1|1|1|1,8,0,-1,a0,
12,34|5|2|2|2|1|1|1,8,0,-1,a0,
12,34|4|4|2|1|1|1|1,8,0,-1,a0,
12,34|4|3|3|1|1|1|1,8,0,-1,a0,
12,34|4|3|2|2|1|1|1,8,0,-1,a0,
12,34|4|2|2|2|2|1|1,8,0,-1,a0,
12,34|3|3|3|2|1|1|1,8,0,-1,a0,
12,34|3|3|2|2|2|1|1,8,0,-1,a0,
12,34|3|2|2|2|2|2|1,8,0,-1,a0,
12,34|2|2|2|2|2|2|2,8,1,21,silent,20
12,33|9|1|1|1|1|1|1,8,0,-1,a0,
12,33|8|2|1|1|1|1|1,8,0,-1,a0,
12,33|7|3|1|1|1|1|1,8,0,-1,a0,
12,33|7|2|2|1|1|1|1,8,0,-1,a0,
12,33|6|4|1|1|1|1|1,8,0,-1,a0,
